t_s,sclk_mhz,sclk_max_mhz,busy_pct,power_w,power_cap_w,temp_c,reasons
211.57,1935,2100,100,189.49,200.00,62,
212.13,1950,2100,100,190.33,200.00,63,
212.68,1935,2100,100,192.36,200.00,63,
213.23,1935,2100,100,189.85,200.00,63,
213.79,1935,2100,100,189.14,200.00,63,
214.34,1935,2100,100,188.95,200.00,62,
214.89,1950,2100,100,190.04,200.00,63,
215.45,1935,2100,100,189.96,200.00,63,
216.00,1935,2100,100,189.18,200.00,63,
216.55,1935,2100,100,189.17,200.00,62,
217.11,1950,2100,100,189.93,200.00,63,
217.65,1935,2100,100,192.28,200.00,63,
218.20,1935,2100,100,190.24,200.00,63,
218.76,1935,2100,100,189.70,200.00,63,
219.31,1935,2100,100,189.39,200.00,62,
219.87,1950,2100,100,189.89,200.00,63,
220.44,1935,2100,100,189.79,200.00,63,
220.99,1935,2100,100,189.26,200.00,63,
221.55,1935,2100,100,189.51,200.00,62,
222.10,1950,2100,100,189.95,200.00,63,
222.66,1950,2100,100,192.24,200.00,63,
223.20,1935,2100,100,189.88,200.00,63,
223.75,1935,2100,100,189.01,200.00,63,
224.32,1935,2100,100,189.25,200.00,62,
224.88,1950,2100,100,189.83,200.00,63,
225.43,1935,2100,100,190.15,200.00,63,
225.98,1935,2100,100,189.14,200.00,63,
226.54,1935,2100,100,189.12,200.00,62,
227.09,1950,2100,100,189.66,200.00,63,
227.65,1950,2100,100,192.76,200.00,63,
228.20,1935,2100,100,190.54,200.00,63,
228.76,1935,2100,100,189.37,200.00,63,
229.31,1935,2100,100,189.20,200.00,62,
229.85,1950,2100,100,189.23,200.00,63,
230.42,1935,2100,100,190.60,200.00,63,
230.97,1935,2100,100,189.42,200.00,63,
231.55,1935,2100,100,189.59,200.00,62,
232.10,1950,2100,100,189.59,200.00,63,
232.66,1950,2100,100,192.43,200.00,63,
233.21,1935,2100,100,190.41,200.00,63,
233.76,1935,2100,100,189.10,200.00,63,
234.29,1935,2100,100,189.43,200.00,63,
234.85,1950,2100,100,189.48,200.00,63,
235.40,1935,2100,100,190.53,200.00,63,
235.98,1935,2100,100,189.01,200.00,63,
236.53,1935,2100,100,189.30,200.00,63,
237.09,1950,2100,100,189.47,200.00,62,
237.64,1950,2100,100,192.60,200.00,63,
238.20,1935,2100,100,190.66,200.00,63,
238.75,1935,2100,100,189.03,200.00,63,
239.30,1935,2100,100,189.40,200.00,63,
239.86,1950,2100,100,188.90,200.00,62,
240.41,1950,2100,100,192.14,200.00,63,
240.94,1935,2100,100,189.52,200.00,63,
241.50,1935,2100,100,189.55,200.00,63,
242.05,1950,2100,100,188.77,200.00,62,
242.61,1950,2100,100,191.85,200.00,63,
243.16,1935,2100,100,190.88,200.00,63,
243.72,1935,2100,100,189.80,200.00,63,
244.27,1935,2100,100,189.72,200.00,63,
244.83,1950,2100,100,188.69,200.00,63,
245.38,1950,2100,100,191.69,200.00,63,
245.94,1935,2100,100,189.80,200.00,63,
246.49,1935,2100,100,189.80,200.00,63,
247.05,1935,2100,100,189.32,200.00,62,
247.60,1950,2100,100,191.98,200.00,63,
248.16,1950,2100,100,191.17,200.00,63,
248.71,1935,2100,100,189.61,200.00,63,
249.26,1935,2100,100,189.45,200.00,63,
249.82,1935,2100,100,189.17,200.00,62,
250.38,1950,2100,100,192.00,200.00,63,
250.91,1935,2100,100,189.52,200.00,63,
251.47,1935,2100,100,189.35,200.00,63,
252.02,1935,2100,100,188.97,200.00,63,
252.57,1950,2100,100,191.73,200.00,63,
253.13,1950,2100,100,191.60,200.00,63,
253.68,1935,2100,100,189.68,200.00,63,
254.23,1935,2100,100,189.29,200.00,63,
254.79,1935,2100,100,188.86,200.00,63,
255.36,1950,2100,100,191.08,200.00,62,
255.89,1950,2100,100,191.05,200.00,63,
256.45,1935,2100,100,189.55,200.00,63,
257.00,1935,2100,100,189.07,200.00,63,
257.56,1950,2100,100,191.21,200.00,62,
258.11,1935,2100,100,190.73,200.00,63,
258.67,1935,2100,100,189.12,200.00,63,
259.22,1935,2100,100,189.40,200.00,63,
259.78,1935,2100,100,189.09,200.00,63,
260.35,1950,2100,100,190.88,200.00,62,
260.89,1935,2100,100,190.65,200.00,63,
261.44,1935,2100,100,189.36,200.00,63,
262.00,1935,2100,100,189.16,200.00,63,
262.55,1950,2100,100,191.25,200.00,62,
263.10,1935,2100,100,191.26,200.00,63,
263.66,1935,2100,100,189.26,200.00,63,
264.21,1935,2100,100,189.13,200.00,63,
264.76,1935,2100,100,188.76,200.00,63,
265.33,1950,2100,100,190.95,200.00,62,
265.89,1935,2100,100,191.55,200.00,63,
266.43,1935,2100,100,188.98,200.00,63,
266.96,1935,2100,100,188.61,200.00,63,
267.52,1950,2100,100,190.46,200.00,62,
268.08,1935,2100,100,191.14,200.00,63,
268.63,1935,2100,100,189.27,200.00,63,
269.18,1935,2100,100,189.26,200.00,63,
269.74,1935,2100,100,188.66,200.00,63,
270.29,1950,2100,100,190.15,200.00,62,
270.84,1935,2100,100,190.88,200.00,63,
271.40,1935,2100,100,188.79,200.00,63,
271.93,1935,2100,100,189.24,200.00,63,
272.48,1950,2100,100,190.59,200.00,62,
273.04,1935,2100,100,191.46,200.00,63,
273.59,1935,2100,100,188.94,200.00,63,
274.15,1935,2100,100,189.07,200.00,63,
274.71,1935,2100,100,189.13,200.00,63,
275.27,1950,2100,100,190.54,200.00,62,
275.83,1935,2100,100,191.50,200.00,63,
276.38,1935,2100,100,188.74,200.00,63,
276.93,1935,2100,100,188.90,200.00,63,
277.49,1950,2100,100,190.33,200.00,62,
278.04,1935,2100,100,192.06,200.00,63,
278.60,1935,2100,100,189.57,200.00,63,
279.16,1935,2100,100,189.28,200.00,63,
279.71,1935,2100,100,188.99,200.00,63,
280.26,1950,2100,100,190.10,200.00,62,
280.82,1935,2100,100,192.00,200.00,63,
281.37,1935,2100,100,189.88,200.00,63,
281.91,1935,2100,100,189.58,200.00,63,
282.46,1950,2100,100,189.99,200.00,62,
283.03,1950,2100,100,189.99,200.00,62,
283.58,1935,2100,100,189.12,200.00,63,
284.14,1935,2100,100,189.00,200.00,63,
284.69,1935,2100,100,189.02,200.00,63,
285.25,1950,2100,100,189.89,200.00,62,
285.80,1950,2100,100,191.72,200.00,63,
286.34,1935,2100,100,189.12,200.00,63,
286.89,1935,2100,100,188.69,200.00,63,
287.44,1950,2100,100,190.02,200.00,62,
288.00,1950,2100,100,192.18,200.00,63,
288.54,1935,2100,100,189.54,200.00,63,
289.10,1935,2100,100,188.76,200.00,63,
289.67,1935,2100,100,188.71,200.00,63,
290.21,1950,2100,100,189.63,200.00,62,
290.76,1950,2100,100,192.21,200.00,62,
291.32,1935,2100,100,189.98,200.00,63,
291.87,1935,2100,100,189.16,200.00,63,
292.40,1935,2100,100,188.98,200.00,63,
292.94,1950,2100,100,191.97,200.00,62,
293.49,1935,2100,100,189.92,200.00,63,
294.05,1935,2100,100,189.23,200.00,63,
294.58,1935,2100,100,189.04,200.00,63,
295.14,1950,2100,100,189.48,200.00,62,
295.69,1950,2100,100,191.84,200.00,62,
296.25,1935,2100,100,189.74,200.00,63,
296.80,1935,2100,100,188.91,200.00,63,
297.35,1935,2100,100,189.15,200.00,63,
297.90,1950,2100,100,189.74,200.00,62,
298.46,1935,2100,100,189.74,200.00,63,
299.01,1935,2100,100,188.91,200.00,63,
299.57,1935,2100,100,188.93,200.00,63,
300.10,1950,2100,100,189.48,200.00,62,
300.66,1950,2100,100,192.29,200.00,62,
301.21,1935,2100,100,189.90,200.00,63,
301.77,1935,2100,100,188.90,200.00,63,
302.32,1935,2100,100,188.72,200.00,63,
302.89,1950,2100,100,188.80,200.00,62,
303.43,1950,2100,100,190.27,200.00,63,
304.02,1935,2100,100,189.14,200.00,63,
304.58,1935,2100,100,188.85,200.00,63,
305.13,1935,2100,100,188.88,200.00,62,
